"コード","銘柄名","市場","現在値","前日比(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高営業利益率(%)","PER(株価収益率)(予)(倍)","売上高成長率(予)(%)","経常利益成長率(予)(%)","過去3年平均売上高成長率(予)(%)","時価総額(百万円)","平均売買代金(千円)"
"215A","タイミー","東G","1187","+27.0(+2.33%)","43.20","81.99","19.68","18.45","23.11","24.08","25.31","119,486","2,946,825"
"2413","エムスリー","東P","1590.0","+0.0(+0.00%)","65.05","6.45","22.10","21.66","26.29","19.92","22.73","1,079,794","9,986,172"
"247A","Ａｉロボティクス","東G","1220","-155.0(-11.27%)","47.50","50.77","17.46","23.11","86.87","86.91","93.90","77,031","4,271,479"
"2585","ライフドリンク　カンパニー","東P","1365","+38.0(+2.86%)","42.85","85.69","10.65","15.86","18.92","35.06","17.70","71,429","1,973,271"
"2980","ＳＲＥ　ＨＬＤＧ","東P","2813","+186.0(+7.08%)","44.80","88.05","11.64","15.53","40.98","150.33","24.65","45,713","2,661,645"
"325A","ＴＥＮＴＩＡＬ","東G","4290","-25.0(-0.58%)","61.74","27.32","10.48","15.33","155.96","167.93","49.00","32,844","508,904"
"3302","帝国繊維","東P","2950","-17.0(-0.57%)","79.07","0.08","12.05","13.40","31.27","52.41","18.44","81,374","219,595"
"3399","丸千代山岡家","東S","3535","-90.0(-2.48%)","46.14","37.79","10.72","21.55","22.89","20.01","26.65","71,099","667,404"
"3496","アズーム","東P","4370","+60.0(+1.39%)","76.67","1.06","19.38","22.63","28.34","25.05","28.11","53,630","428,878"
"3697","ＳＨＩＦＴ","東P","653.1","+12.9(+2.01%)","52.72","29.34","12.04","13.90","19.66","20.44","18.50","174,705","4,048,747"
"3923","ラクス","東P","805.0","-15.2(-1.85%)","69.43","0.98","20.84","23.58","22.89","63.77","25.09","290,337","4,761,768"
"4165","プレイド","東G","517","-3.0(-0.58%)","49.29","38.05","10.68","18.17","31.13","43.12","26.41","21,332","728,491"
"4373","シンプレクス・ＨＬＤＧ","東P","861","+40.0(+4.87%)","61.77","30.32","22.80","19.90","23.71","31.69","20.01","203,345","978,465"
"4377","ワンキャリア","東G","2006","-50.0(-2.43%)","70.53","2.47","23.99","27.04","41.63","46.49","38.81","36,813","749,502"
"4413","ボードルア","東P","1785","+35.0(+2.00%)","53.13","29.04","21.12","23.74","48.18","35.99","53.46","57,330","320,826"
"4419","ＦｉｎａｔｅｘｔＨＬＤＧ","東G","886","+55.0(+6.62%)","47.02","17.58","12.33","37.07","43.64","107.85","43.47","45,982","853,626"
"4431","スマレジ","東G","2197","-30.0(-1.35%)","71.85","1.30","21.46","20.65","21.09","26.17","26.41","43,264","330,726"
"4483","ＪＭＤＣ","東P","3990","+260.0(+6.97%)","54.55","49.06","20.89","34.82","23.54","30.82","29.84","261,065","1,909,496"
"4828","ビジネスエンジニアリング","東P","1412","+8.0(+0.57%)","72.54","0.75","22.51","18.79","17.92","36.78","12.11","84,720","401,516"
"5032","ＡＮＹＣＯＬＯＲ","東P","3955","-230.0(-5.50%)","75.38","0.20","37.97","15.32","28.41","37.78","31.18","241,560","3,060,798"
"5137","スマートドライブ","東G","309","+9.0(+3.00%)","47.53","50.35","13.55","13.04","56.32","94.59","43.90","11,687","163,422"
"5254","Ａｒｅｎｔ","東G","3975","+250.0(+6.71%)","78.86","6.72","41.95","17.91","24.12","72.81","30.42","27,643","401,217"
"5582","グリッド","東G","2459","+12.0(+0.49%)","89.14","0.15","20.74","33.41","50.24","28.50","36.98","11,692","308,484"
"5803","フジクラ","東P","22340.0","+920.0(+4.30%)","49.08","36.11","13.84","41.68","18.63","47.26","20.53","6,609,588","170,840,415"
"6039","日本動物高度医療センター","東G","1434","+58.0(+4.22%)","47.39","83.77","13.64","20.59","17.47","73.61","20.50","20,637","625,971"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","3510","+20.0(+0.57%)","77.60","0.00","31.74","15.68","18.76","36.16","17.94","111,474","391,723"
"6532","ベイカレント","東P","4474.0","+130.0(+2.99%)","75.72","1.39","36.72","18.10","24.94","16.00","24.26","695,311","11,401,509"
"6544","ジャパンエレベーターサービスＨ","東P","1608.0","-14.5(-0.89%)","56.37","25.07","17.47","38.97","15.61","27.07","16.28","287,485","1,281,394"
"6777","ｓａｎｔｅｃ　ＨＬＤＧ","東S","18700","+190.0(+1.03%)","72.57","12.68","30.92","33.83","24.86","26.79","26.10","223,673","2,909,689"
"6855","日本電子材料","東S","7400","-440.0(-5.61%)","70.03","21.06","19.24","21.28","19.60","37.93","27.76","93,732","6,158,392"
"6857","アドバンテスト","東P","26960.0","+165.0(+0.62%)","59.30","14.80","29.26","63.84","32.28","89.75","45.60","19,734,720","210,398,684"
"6946","日本アビオニクス","東S","7180","+180.0(+2.57%)","51.86","34.32","13.90","36.36","29.21","53.45","20.00","120,371","2,736,986"
"7373","アイドマＨＬＤＧ","東G","1871","-24.0(-1.27%)","65.99","1.85","23.38","11.86","29.62","31.54","27.27","28,651","216,643"
"7409","ＡｅｒｏＥｄｇｅ","東G","5450","+70.0(+1.30%)","47.31","86.11","18.18","87.75","41.58","85.84","23.38","64,766","1,370,637"
"7760","ＩＭＶ","東S","3700","+255.0(+7.40%)","51.00","28.35","12.90","26.75","17.05","16.78","17.00","62,741","593,152"
"7806","ＭＴＧ","東G","5250","-20.0(-0.38%)","67.81","7.28","10.79","22.33","24.08","30.23","30.61","210,847","2,683,522"
"7906","ヨネックス","東S","3845","+85.0(+2.26%)","63.17","13.15","10.25","27.43","17.21","19.92","17.98","357,088","1,938,386"
"7936","アシックス","東P","4669.0","+48.0(+1.04%)","44.90","26.79","14.75","36.40","18.47","47.02","18.71","3,429,297","37,165,027"
"7974","任天堂","東P","8636.0","+227.0(+2.70%)","80.16","0.00","24.26","25.08","98.90","47.75","17.72","11,215,487","95,499,524"
"8136","サンリオ","東P","5855.0","-82.0(-1.38%)","52.88","37.74","35.75","26.60","32.08","44.08","38.36","1,495,416","101,720,185"
"9467","アルファポリス","東G","1300","+18.0(+1.40%)","81.15","0.51","23.66","15.29","26.42","20.24","29.08","37,781","213,449"
"9552","クオンツ総研ＨＬＤＧ","東P","758","-19.0(-2.45%)","62.83","0.28","28.78","11.25","30.94","22.31","14.61","41,009","777,087"
"9554","ＡＶｉＣ","東G","1379","-20.0(-1.43%)","58.46","31.28","27.01","11.64","38.01","43.64","38.29","8,743","172,429"
"9602","東宝","東P","7827.0","+68.0(+0.88%)","73.25","0.63","20.65","24.02","15.71","19.59","13.09","1,377,552","4,418,051"